abbiegen|B1|abbiegen, biegt ab, bog ab, ist abgebogen |An der nächsten Kreuzung müssen Sie links abbiegen.
abbildung|B1|die Abbildung, -en  |Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.
abend|A0|Abend,-e|_
abenteuer|B1|das Abenteuer, -   |1. Unser Urlaub war ein tolles Abenteuer.<br>2. Die Kinder lieben Abenteuergeschichten.
aber|A1|aber|Der Film ist traurig, aber sehr schön.
aber|A2|aber      |Heute kann ich nicht kommen, aber morgen habe ich Zeit.<br>Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.<br>Es war sehr schön.<br>Jetzt muss ich aber gehen.<br>Das ist aber nett von dir.
aber|B1|aber             |1. Heute kann ich nicht, aber morgen ganz bestimmt.<br>2. Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.<br>3. Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.<br>4. Es war sehr schön.<br>Jetzt muss ich aber gehen.<br>5. Ich würde gerne kommen, aber es geht leider nicht.<br>6. Darf ich dich zu einem Kaffee einladen?<br>– Aber ja, sehr gern.<br>7. Du spielst aber gut Klavier.
abfahren|A1|abfahren|Der Zug fährt gleich ab.
abfahren|B1|abfahren, fährt ab, fuhr ab, ist abgefahren |Unser Zug ist pünktlich abgefahren.
abfahrt|A2|die Abfahrt, -en|Wir haben noch zwanzig Minuten bis zur Abfahrt.
abfahrt|B1|die Abfahrt, -en  |Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.
abfall|B1|der Abfall, ¨-e  |Werfen Sie den Bioabfall bitte nicht zum normalen Müll.